datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2006-01-03,0.0,100000.0,0.0,100000.0,,,
2006-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-11,10478.2233,89555.0,0.0,100033.2233,0.000332233,1.000332233,0.0
2006-01-12,10436.8975,89555.0,0.0,99991.8975,-0.000413120747655,0.999918975,0.000413258
2006-01-13,10427.1729,89555.0,0.0,99982.1729,-9.72538799956e-05,0.999821729,0.000510504
2006-01-17,10398.8125,89555.0,0.0,99953.8125,-0.000283654567383,0.999538125,0.000794108
2006-01-18,10357.4861,89555.0,0.0,99912.4861,-0.000413454964512,0.999124861,0.001207372
2006-01-19,10397.1915,89555.0,0.0,99952.1915,0.000397401781798,0.999521915,0.000810318
2006-01-20,10207.5774,89555.0,0.0,99762.5774,-0.00189704795017,0.997625774,0.002706459
2006-01-23,10244.0414,89555.0,0.0,99799.0414,0.000365507798118,0.997990414,0.002341819
2006-01-24,10254.576,89555.0,0.0,99809.576,0.000105558128136,0.99809576,0.002236473
2006-01-25,10263.4895,89555.0,0.0,99818.4895,8.93050582642e-05,0.998184895,0.002147338
2006-01-26,10320.2115,89555.0,0.0,99875.2115,0.000568251436023,0.998752115,0.001580118
2006-01-27,10415.8285,89555.0,0.0,99970.8285,0.000957364681025,0.999708285,0.000623948
2006-01-30,10407.726,89555.0,0.0,99962.726,-8.1048643105e-05,0.99962726,0.000704973
2006-01-31,10331.5559,89555.0,0.0,99886.5559,-0.000761985022297,0.998865559,0.001466674
2006-02-01,10403.6742,89555.0,0.0,99958.6742,0.000722002068749,0.999586742,0.000745491
2006-02-02,10282.937,89555.0,0.0,99837.937,-0.00120787116242,0.99837937,0.001952863
2006-02-03,10231.8865,89555.0,0.0,99786.8865,-0.000511333682706,0.997868865,0.002463368
2006-02-06,10258.6272,89555.0,0.0,99813.6272,0.000267978097503,0.998136272,0.002195961
2006-02-07,10167.8719,89555.0,0.0,99722.8719,-0.000909247590193,0.997228719,0.003103514
2006-02-08,10260.2482,89555.0,0.0,99815.2482,0.000926330121064,0.998152482,0.002179751
2006-02-09,10243.2316,89555.0,0.0,99798.2316,-0.000170480966655,0.997982316,0.002349917
2006-02-10,10261.8685,89555.0,0.0,99816.8685,0.000186745794001,0.998168685,0.002163548
2006-02-13,10243.2316,89555.0,0.0,99798.2316,-0.00018671092652,0.997982316,0.002349917
2006-02-14,10351.8139,89555.0,0.0,99906.8139,0.00108801827707,0.999068139,0.001264094
2006-02-15,10388.278,89555.0,0.0,99943.278,0.000364981111664,0.99943278,0.000899453
2006-02-16,10466.069,89555.0,0.0,100021.069,0.000778351496536,1.00021069,0.000121543
2006-02-17,10437.7074,89555.0,0.0,99992.7074,-0.000283556257532,0.999927074,0.000405159
2006-02-21,10411.7779,89555.0,0.0,99966.7779,-0.000259313910726,0.999667779,0.000664454
2006-02-22,10474.9826,89555.0,0.0,100029.9826,0.000632257049069,1.000299826,3.2407e-05
2006-02-23,10459.5863,89555.0,0.0,100014.5863,-0.000153916851726,1.000145863,0.00018637
2006-02-24,10486.327,89555.0,0.0,100041.327,0.000267368000901,1.00041327,0.0
2006-02-27,10490.3788,89555.0,0.0,100045.3788,4.05012620435e-05,1.000453788,0.0
2006-02-28,10390.7088,89555.0,0.0,99945.7088,-0.000996247914651,0.999457088,0.0009967
2006-03-01,10483.085,89555.0,0.0,100038.085,0.000924263793905,1.00038085,7.29380000002e-05
2006-03-02,10482.2752,89555.0,0.0,100037.2752,-8.09491705067e-06,1.000372752,8.10360000001e-05
2006-03-03,10433.6556,89555.0,0.0,99988.6556,-0.000486014836998,0.999886556,0.000567232
2006-03-06,10385.8471,89555.0,0.0,99940.8471,-0.000478139242028,0.999408471,0.001045317
2006-03-07,10369.641,89555.0,0.0,99924.641,-0.000162156920521,0.99924641,0.001207378
2006-03-08,10391.5199,89555.0,0.0,99946.5199,0.000218954001546,0.999465199,0.000988589
2006-03-09,10321.8319,89555.0,0.0,99876.8319,-0.000697252891544,0.998768319,0.001685469
2006-03-10,10419.8803,89555.0,0.0,99974.8803,0.00098169313278,0.999748803,0.000704985
2006-03-13,10439.3284,89555.0,0.0,99994.3284,0.000194529865319,0.999943284,0.000510504
